ID,user_login,type,start_date,end_date,approved,rejected,note,hours,approved_by,hide
11,snardo,Unpaid,2016-09-20,0000-00-00,1,0,,8,,0
12,snardo,Personal,2016-09-14,0000-00-00,1,0,,8,,0
15,alebedev,Personal,2016-09-14,0000-00-00,1,0,9am-11am,2,,0
19,adyuzhykov,Personal,2016-09-13,0000-00-00,1,0,9:00-10:00,1,,0
20,mdakouo,Vacation,2016-09-26,2016-09-30,1,0,"Request of Vacation sent on September3, 2016 Murray",0,,0
21,nbenmouffok,Personal,2016-09-12,0000-00-00,1,0,,8,,0
22,nkordi,Personal,2016-09-13,0000-00-00,1,0,,2,,0
24,kantonucci,Vacation,2016-10-24,2016-11-11,1,0,,0,,0
28,tdelpe,Vacation,2016-09-05,2016-09-16,1,0,,9,,0
29,snardo,Unpaid,2016-09-01,0000-00-00,1,0,"2 hours",2,,0
31,lstephan,Vacation,2016-08-29,2016-09-02,1,0,,0,,0
33,abekri,Personal,2016-09-12,0000-00-00,1,0,,8,,0
34,jmediati,Unpaid,2016-09-12,0000-00-00,1,0,,0,,0
35,jmediati,Unpaid,2016-09-13,0000-00-00,1,0,,8,,0
36,jmediati,Unpaid,2016-09-14,0000-00-00,1,0,,8,,0
37,jmediati,Unpaid,2016-09-15,0000-00-00,1,0,,8,,0
38,mdakouo,Vacation,2016-09-14,2016-09-16,1,0,"3 days Paternity leave",0,,0
39,mdakouo,Personal,2016-09-23,0000-00-00,1,0,"Afternoon of Firday, September 23, 2016 ",4,,0
40,snardo,Unpaid,2016-10-19,0000-00-00,1,0,,8,,0
42,snardo,Personal,2016-11-04,0000-00-00,1,0,"3 hour unpaid leave",5,,0
43,snardo,Unpaid,2016-11-04,0000-00-00,1,0,,3,,0
44,cmarion,Unpaid,2016-09-28,0000-00-00,1,0,,8,,0
45,abekri,Personal,2016-09-21,0000-00-00,1,0,,4,,0
47,snardo,Vacation,2016-12-27,2017-01-06,1,0,,0,,0
48,nsfato,Personal,2016-10-03,0000-00-00,1,0,,2,,0
50,kemery,Vacation,2016-09-16,2016-09-21,1,0,Vacation,0,,0
55,aoziegbe,Personal,2016-09-01,0000-00-00,1,0,,3,,0
56,aoziegbe,Personal,2016-09-09,0000-00-00,1,0,,1,,0
57,aoziegbe,Unpaid,2016-09-12,0000-00-00,1,0,,8,,0
58,aoziegbe,Unpaid,2016-09-13,0000-00-00,1,0,,8,,0
60,aoziegbe,Unpaid,2016-09-15,0000-00-00,1,0,,8,,0
61,aoziegbe,Unpaid,2016-09-14,0000-00-00,1,0,,8,,0
62,aoziegbe,Unpaid,2016-09-16,0000-00-00,1,0,,8,,0
63,aoziegbe,Unpaid,2016-09-19,0000-00-00,1,0,,8,,0
64,aoziegbe,Unpaid,2016-09-20,0000-00-00,1,0,,8,,0
65,aoziegbe,Unpaid,2016-09-21,0000-00-00,1,0,,8,,0
66,aoziegbe,Unpaid,2016-09-22,0000-00-00,1,0,,8,,0
67,aoziegbe,Unpaid,2016-09-23,0000-00-00,1,0,,8,,0
70,snardo,Unpaid,2016-10-14,0000-00-00,1,0,,8,,0
74,nsfato,Personal,2016-10-05,0000-00-00,1,0,8:30-10:30,2,,0
75,sing,Unpaid,2016-10-07,0000-00-00,1,0,,8,,0
76,tdelpe,Personal,2016-10-04,0000-00-00,1,0,,2,jparente,0
77,mdakouo,Vacation,2016-10-26,2016-10-26,0,0,"1 Day vacation on October 26,2016",0,,0
82,nkordi,Personal,2016-10-03,0000-00-00,1,0,"Sick leave",4,,0
83,nkordi,Personal,2016-10-04,0000-00-00,1,0,"Sick leave",8,,0
